Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/3/1999,AQS,410030013,1,31.6,ug/m3 LC,92,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/6/1999,AQS,410030013,1,15,ug/m3 LC,57,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/9/1999,AQS,410030013,1,12.9,ug/m3 LC,53,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/12/1999,AQS,410030013,1,10.6,ug/m3 LC,44,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/15/1999,AQS,410030013,1,3.8,ug/m3 LC,16,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/18/1999,AQS,410030013,1,3.5,ug/m3 LC,15,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/21/1999,AQS,410030013,1,2.8,ug/m3 LC,12,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/24/1999,AQS,410030013,1,14.9,ug/m3 LC,57,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/27/1999,AQS,410030013,1,5.3,ug/m3 LC,22,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
1/30/1999,AQS,410030013,1,5.4,ug/m3 LC,23,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
2/2/1999,AQS,410030013,1,6.8,ug/m3 LC,28,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
2/5/1999,AQS,410030013,1,3.2,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
